Inference - 20221211_18.30
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_128/infer_20221211_18.30
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
Starting inference
Starting the images
> 00000 PSNR=15.778, SSIM=0.6988 pre_time:0.033s, forward_time:0.410s, post_time:0.085s, total_time:0.528s, prior_image:False
> 00001 PSNR=13.785, SSIM=0.5290 pre_time:0.017s, forward_time:0.014s, post_time:0.061s, total_time:0.092s, prior_image:True
> 00002 PSNR=12.852, SSIM=0.4787 pre_time:0.042s, forward_time:0.014s, post_time:0.013s, total_time:0.069s, prior_image:True
> 00003 PSNR=12.306, SSIM=0.4688 pre_time:0.034s, forward_time:0.014s, post_time:0.062s, total_time:0.110s, prior_image:True
> 00004 PSNR=11.903, SSIM=0.4249 pre_time:0.034s, forward_time:0.014s, post_time:0.047s, total_time:0.096s, prior_image:True
> 00005 PSNR=11.460, SSIM=0.4086 pre_time:0.004s, forward_time:0.014s, post_time:0.043s, total_time:0.061s, prior_image:True
> 00006 PSNR=11.122, SSIM=0.3676 pre_time:0.003s, forward_time:0.020s, post_time:0.608s, total_time:0.632s, prior_image:True
> 00007 PSNR=11.536, SSIM=0.3685 pre_time:0.007s, forward_time:0.015s, post_time:0.013s, total_time:0.035s, prior_image:True
> 00008 PSNR=11.808, SSIM=0.3925 pre_time:0.009s, forward_time:0.014s, post_time:0.072s, total_time:0.095s, prior_image:True
> 00009 PSNR=11.774, SSIM=0.4086 pre_time:0.004s, forward_time:0.014s, post_time:0.069s, total_time:0.087s, prior_image:True
> 00010 PSNR=11.732, SSIM=0.3944 pre_time:0.004s, forward_time:0.027s, post_time:0.077s, total_time:0.108s, prior_image:True
> 00011 PSNR=11.784, SSIM=0.4209 pre_time:0.020s, forward_time:0.014s, post_time:0.060s, total_time:0.094s, prior_image:True
> 00012 PSNR=11.855, SSIM=0.4081 pre_time:0.004s, forward_time:0.014s, post_time:0.047s, total_time:0.065s, prior_image:True
> 00013 PSNR=12.015, SSIM=0.4054 pre_time:0.004s, forward_time:0.014s, post_time:0.051s, total_time:0.069s, prior_image:True
> 00014 PSNR=12.195, SSIM=0.4204 pre_time:0.004s, forward_time:0.014s, post_time:0.037s, total_time:0.055s, prior_image:True
> 00015 PSNR=12.181, SSIM=0.4220 pre_time:0.004s, forward_time:0.014s, post_time:0.034s, total_time:0.052s, prior_image:True
> 00016 PSNR=12.080, SSIM=0.4337 pre_time:0.004s, forward_time:0.014s, post_time:0.052s, total_time:0.070s, prior_image:True
> 00017 PSNR=12.078, SSIM=0.4457 pre_time:0.012s, forward_time:0.016s, post_time:0.028s, total_time:0.057s, prior_image:True
> 00018 PSNR=12.211, SSIM=0.4234 pre_time:0.004s, forward_time:0.016s, post_time:0.025s, total_time:0.045s, prior_image:True
> 00019 PSNR=12.475, SSIM=0.4218 pre_time:0.004s, forward_time:0.016s, post_time:0.162s, total_time:0.182s, prior_image:True
> 00020 PSNR=12.895, SSIM=0.4181 pre_time:0.006s, forward_time:0.017s, post_time:0.038s, total_time:0.061s, prior_image:True
> 00021 PSNR=13.298, SSIM=0.4373 pre_time:0.004s, forward_time:0.016s, post_time:0.040s, total_time:0.060s, prior_image:True
> 00022 PSNR=13.629, SSIM=0.4524 pre_time:0.036s, forward_time:0.016s, post_time:0.013s, total_time:0.065s, prior_image:True
> 00023 PSNR=13.950, SSIM=0.4568 pre_time:0.004s, forward_time:0.017s, post_time:0.160s, total_time:0.181s, prior_image:True
> 00024 PSNR=14.170, SSIM=0.4646 pre_time:0.004s, forward_time:0.016s, post_time:0.012s, total_time:0.032s, prior_image:True
> 00025 PSNR=14.211, SSIM=0.4576 pre_time:0.004s, forward_time:0.016s, post_time:0.012s, total_time:0.033s, prior_image:True
> 00026 PSNR=14.081, SSIM=0.4265 pre_time:0.004s, forward_time:0.016s, post_time:0.048s, total_time:0.068s, prior_image:True
> 00027 PSNR=14.084, SSIM=0.4254 pre_time:0.018s, forward_time:0.016s, post_time:0.082s, total_time:0.116s, prior_image:True
> 00028 PSNR=14.159, SSIM=0.4123 pre_time:0.018s, forward_time:0.016s, post_time:0.054s, total_time:0.088s, prior_image:True
> 00029 PSNR=14.500, SSIM=0.4193 pre_time:0.005s, forward_time:0.016s, post_time:0.013s, total_time:0.033s, prior_image:True
> 00030 PSNR=15.038, SSIM=0.4398 pre_time:0.004s, forward_time:0.016s, post_time:0.012s, total_time:0.032s, prior_image:True
> 00031 PSNR=15.293, SSIM=0.4442 pre_time:0.003s, forward_time:0.015s, post_time:0.013s, total_time:0.032s, prior_image:True
> 00032 PSNR=15.386, SSIM=0.4359 pre_time:0.005s, forward_time:0.016s, post_time:0.044s, total_time:0.065s, prior_image:True
> 00033 PSNR=15.330, SSIM=0.4159 pre_time:0.004s, forward_time:0.016s, post_time:0.054s, total_time:0.074s, prior_image:True
> 00034 PSNR=15.014, SSIM=0.4016 pre_time:0.004s, forward_time:0.016s, post_time:0.013s, total_time:0.032s, prior_image:True
> 00035 PSNR=14.765, SSIM=0.3883 pre_time:0.004s, forward_time:0.016s, post_time:0.049s, total_time:0.069s, prior_image:True
> 00036 PSNR=14.165, SSIM=0.3757 pre_time:0.024s, forward_time:0.017s, post_time:0.063s, total_time:0.104s, prior_image:True
> 00037 PSNR=13.660, SSIM=0.3736 pre_time:0.004s, forward_time:0.016s, post_time:0.047s, total_time:0.067s, prior_image:True
> 00038 PSNR=13.231, SSIM=0.3721 pre_time:0.005s, forward_time:0.016s, post_time:0.075s, total_time:0.095s, prior_image:True
> 00039 PSNR=12.819, SSIM=0.3754 pre_time:0.004s, forward_time:0.016s, post_time:0.056s, total_time:0.076s, prior_image:True
> 00040 PSNR=12.496, SSIM=0.3866 pre_time:0.004s, forward_time:0.016s, post_time:0.014s, total_time:0.034s, prior_image:True
> 00041 PSNR=12.258, SSIM=0.3773 pre_time:0.004s, forward_time:0.016s, post_time:0.012s, total_time:0.033s, prior_image:True
> 00042 PSNR=12.014, SSIM=0.3827 pre_time:0.017s, forward_time:0.016s, post_time:0.096s, total_time:0.129s, prior_image:True
> 00043 PSNR=11.808, SSIM=0.3841 pre_time:0.004s, forward_time:0.016s, post_time:0.012s, total_time:0.032s, prior_image:True
> 00044 PSNR=11.883, SSIM=0.3656 pre_time:0.004s, forward_time:0.016s, post_time:0.055s, total_time:0.075s, prior_image:True
> 00045 PSNR=12.047, SSIM=0.3639 pre_time:0.005s, forward_time:0.016s, post_time:0.013s, total_time:0.033s, prior_image:True
> 00046 PSNR=12.143, SSIM=0.3772 pre_time:0.003s, forward_time:0.015s, post_time:0.012s, total_time:0.031s, prior_image:True
> 00047 PSNR=12.455, SSIM=0.4295 pre_time:0.004s, forward_time:0.016s, post_time:0.012s, total_time:0.033s, prior_image:True
> 00048 PSNR=12.534, SSIM=0.4304 pre_time:0.004s, forward_time:0.016s, post_time:0.012s, total_time:0.032s, prior_image:True
> 00049 PSNR=12.605, SSIM=0.4328 pre_time:0.004s, forward_time:0.016s, post_time:0.056s, total_time:0.076s, prior_image:True
> 00050 PSNR=12.666, SSIM=0.4341 pre_time:0.004s, forward_time:0.016s, post_time:0.012s, total_time:0.032s, prior_image:True
> 00051 PSNR=12.749, SSIM=0.4411 pre_time:0.004s, forward_time:0.016s, post_time:0.013s, total_time:0.033s, prior_image:True
> 00052 PSNR=12.851, SSIM=0.4473 pre_time:0.005s, forward_time:0.016s, post_time:0.012s, total_time:0.033s, prior_image:True
> 00053 PSNR=12.967, SSIM=0.4561 pre_time:0.022s, forward_time:0.016s, post_time:0.053s, total_time:0.091s, prior_image:True
> 00054 PSNR=13.061, SSIM=0.4624 pre_time:0.006s, forward_time:0.017s, post_time:0.012s, total_time:0.036s, prior_image:True
> 00055 PSNR=13.205, SSIM=0.4723 pre_time:0.004s, forward_time:0.016s, post_time:0.013s, total_time:0.032s, prior_image:True
> 00056 PSNR=13.241, SSIM=0.4760 pre_time:0.023s, forward_time:0.016s, post_time:0.062s, total_time:0.101s, prior_image:True
> 00057 PSNR=13.303, SSIM=0.4745 pre_time:0.004s, forward_time:0.016s, post_time:0.015s, total_time:0.035s, prior_image:True
> 00000 PSNR=19.664, SSIM=0.7037 pre_time:0.005s, forward_time:0.026s, post_time:0.034s, total_time:0.065s, prior_image:False
> 00001 PSNR=16.644, SSIM=0.5033 pre_time:0.005s, forward_time:0.016s, post_time:0.098s, total_time:0.119s, prior_image:True
> 00002 PSNR=15.008, SSIM=0.4566 pre_time:0.005s, forward_time:0.016s, post_time:0.060s, total_time:0.081s, prior_image:True
> 00003 PSNR=14.014, SSIM=0.4436 pre_time:0.003s, forward_time:0.015s, post_time:0.049s, total_time:0.067s, prior_image:True
> 00004 PSNR=13.661, SSIM=0.4688 pre_time:0.004s, forward_time:0.016s, post_time:0.062s, total_time:0.082s, prior_image:True
> 00005 PSNR=13.713, SSIM=0.5082 pre_time:0.021s, forward_time:0.016s, post_time:0.012s, total_time:0.049s, prior_image:True
> 00006 PSNR=14.083, SSIM=0.5133 pre_time:0.003s, forward_time:0.015s, post_time:0.036s, total_time:0.054s, prior_image:True
> 00007 PSNR=13.611, SSIM=0.4814 pre_time:0.118s, forward_time:0.016s, post_time:0.032s, total_time:0.166s, prior_image:True
> 00008 PSNR=13.625, SSIM=0.4952 pre_time:0.004s, forward_time:0.016s, post_time:0.031s, total_time:0.052s, prior_image:True
> 00009 PSNR=13.356, SSIM=0.4713 pre_time:0.010s, forward_time:0.017s, post_time:0.157s, total_time:0.183s, prior_image:True
> 00010 PSNR=13.269, SSIM=0.4710 pre_time:0.006s, forward_time:0.017s, post_time:0.084s, total_time:0.108s, prior_image:True
> 00011 PSNR=12.962, SSIM=0.4579 pre_time:0.005s, forward_time:0.016s, post_time:0.012s, total_time:0.033s, prior_image:True
> 00012 PSNR=12.418, SSIM=0.4330 pre_time:0.003s, forward_time:0.016s, post_time:0.045s, total_time:0.064s, prior_image:True
> 00013 PSNR=11.735, SSIM=0.3930 pre_time:0.004s, forward_time:0.016s, post_time:0.068s, total_time:0.089s, prior_image:True
> 00014 PSNR=12.343, SSIM=0.4613 pre_time:0.005s, forward_time:0.016s, post_time:0.013s, total_time:0.035s, prior_image:True
> 00015 PSNR=12.846, SSIM=0.4497 pre_time:0.011s, forward_time:0.016s, post_time:0.053s, total_time:0.080s, prior_image:True
> 00016 PSNR=13.352, SSIM=0.4865 pre_time:0.005s, forward_time:0.016s, post_time:0.049s, total_time:0.070s, prior_image:True
> 00017 PSNR=13.660, SSIM=0.4919 pre_time:0.005s, forward_time:0.017s, post_time:0.054s, total_time:0.076s, prior_image:True
> 00018 PSNR=13.795, SSIM=0.5028 pre_time:0.005s, forward_time:0.016s, post_time:0.060s, total_time:0.081s, prior_image:True
> 00019 PSNR=13.632, SSIM=0.4916 pre_time:0.004s, forward_time:0.017s, post_time:0.116s, total_time:0.136s, prior_image:True
> 00020 PSNR=13.295, SSIM=0.5161 pre_time:0.004s, forward_time:0.017s, post_time:0.012s, total_time:0.033s, prior_image:True
> 00021 PSNR=13.229, SSIM=0.5212 pre_time:0.004s, forward_time:0.016s, post_time:0.043s, total_time:0.063s, prior_image:True
> 00022 PSNR=13.130, SSIM=0.5254 pre_time:0.004s, forward_time:0.017s, post_time:0.064s, total_time:0.085s, prior_image:True
> 00023 PSNR=13.129, SSIM=0.5421 pre_time:0.021s, forward_time:0.016s, post_time:0.013s, total_time:0.050s, prior_image:True
> 00024 PSNR=13.746, SSIM=0.5544 pre_time:0.005s, forward_time:0.018s, post_time:0.208s, total_time:0.231s, prior_image:True
> 00025 PSNR=14.593, SSIM=0.5579 pre_time:0.006s, forward_time:0.017s, post_time:0.013s, total_time:0.035s, prior_image:True
> 00026 PSNR=15.472, SSIM=0.5841 pre_time:0.004s, forward_time:0.016s, post_time:0.064s, total_time:0.084s, prior_image:True
> 00027 PSNR=15.473, SSIM=0.5686 pre_time:0.022s, forward_time:0.016s, post_time:0.052s, total_time:0.090s, prior_image:True
> 00028 PSNR=15.343, SSIM=0.5546 pre_time:0.004s, forward_time:0.016s, post_time:0.058s, total_time:0.078s, prior_image:True
> 00029 PSNR=15.396, SSIM=0.5532 pre_time:0.005s, forward_time:0.017s, post_time:0.030s, total_time:0.052s, prior_image:True
> 00030 PSNR=15.257, SSIM=0.5624 pre_time:0.020s, forward_time:0.016s, post_time:0.013s, total_time:0.048s, prior_image:True
> 00031 PSNR=14.851, SSIM=0.5449 pre_time:0.012s, forward_time:0.017s, post_time:0.013s, total_time:0.042s, prior_image:True
> 00032 PSNR=14.606, SSIM=0.5080 pre_time:0.013s, forward_time:0.016s, post_time:0.036s, total_time:0.065s, prior_image:True
> 00033 PSNR=14.605, SSIM=0.4714 pre_time:0.005s, forward_time:0.016s, post_time:0.067s, total_time:0.088s, prior_image:True
