Inference - 20221211_18.16
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED128/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_128/infer_20221211_18.16
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_21.58/Dehaze/model/model_best.pt
> 00000 PSNR=15.778, SSIM=0.6988 pre_time:0.043s, forward_time:0.400s, post_time:0.092s, total_time:0.534s, prior_image:False
> 00001 PSNR=14.860, SSIM=0.6549 pre_time:0.006s, forward_time:0.026s, post_time:0.053s, total_time:0.084s, prior_image:False
> 00002 PSNR=14.260, SSIM=0.6320 pre_time:0.006s, forward_time:0.026s, post_time:0.063s, total_time:0.095s, prior_image:False
> 00003 PSNR=13.925, SSIM=0.6221 pre_time:0.005s, forward_time:0.026s, post_time:0.070s, total_time:0.101s, prior_image:False
> 00004 PSNR=13.743, SSIM=0.6059 pre_time:0.006s, forward_time:0.026s, post_time:0.947s, total_time:0.979s, prior_image:False
> 00005 PSNR=14.757, SSIM=0.6034 pre_time:0.267s, forward_time:0.026s, post_time:0.015s, total_time:0.307s, prior_image:False
> 00006 PSNR=14.676, SSIM=0.5878 pre_time:0.006s, forward_time:0.026s, post_time:0.051s, total_time:0.083s, prior_image:False
> 00007 PSNR=14.815, SSIM=0.5683 pre_time:0.006s, forward_time:0.026s, post_time:0.013s, total_time:0.045s, prior_image:False
> 00008 PSNR=15.180, SSIM=0.5822 pre_time:0.005s, forward_time:0.026s, post_time:0.080s, total_time:0.111s, prior_image:False
> 00009 PSNR=14.979, SSIM=0.5911 pre_time:0.006s, forward_time:0.026s, post_time:0.137s, total_time:0.169s, prior_image:False
> 00010 PSNR=14.880, SSIM=0.5939 pre_time:0.005s, forward_time:0.026s, post_time:0.089s, total_time:0.120s, prior_image:False
> 00011 PSNR=15.010, SSIM=0.5987 pre_time:0.011s, forward_time:0.026s, post_time:0.016s, total_time:0.053s, prior_image:False
> 00012 PSNR=15.102, SSIM=0.6116 pre_time:0.019s, forward_time:0.026s, post_time:0.063s, total_time:0.108s, prior_image:False
> 00013 PSNR=15.307, SSIM=0.6235 pre_time:0.012s, forward_time:0.026s, post_time:0.033s, total_time:0.072s, prior_image:False
> 00014 PSNR=15.485, SSIM=0.6222 pre_time:0.010s, forward_time:0.026s, post_time:0.012s, total_time:0.048s, prior_image:False
> 00015 PSNR=15.313, SSIM=0.6160 pre_time:0.007s, forward_time:0.026s, post_time:0.049s, total_time:0.081s, prior_image:False
> 00016 PSNR=15.672, SSIM=0.6230 pre_time:0.005s, forward_time:0.050s, post_time:0.013s, total_time:0.067s, prior_image:False
> 00017 PSNR=16.064, SSIM=0.6342 pre_time:0.005s, forward_time:0.026s, post_time:0.085s, total_time:0.117s, prior_image:False
> 00018 PSNR=16.558, SSIM=0.6347 pre_time:0.005s, forward_time:0.026s, post_time:0.048s, total_time:0.080s, prior_image:False
> 00019 PSNR=16.623, SSIM=0.6381 pre_time:0.006s, forward_time:0.026s, post_time:0.064s, total_time:0.096s, prior_image:False
> 00020 PSNR=17.631, SSIM=0.6538 pre_time:0.006s, forward_time:0.026s, post_time:0.069s, total_time:0.101s, prior_image:False
> 00021 PSNR=18.114, SSIM=0.6518 pre_time:0.005s, forward_time:0.026s, post_time:0.013s, total_time:0.044s, prior_image:False
> 00022 PSNR=17.796, SSIM=0.6524 pre_time:0.005s, forward_time:0.026s, post_time:0.012s, total_time:0.043s, prior_image:False
> 00023 PSNR=18.031, SSIM=0.6542 pre_time:0.006s, forward_time:0.026s, post_time:0.012s, total_time:0.044s, prior_image:False
> 00024 PSNR=18.125, SSIM=0.6569 pre_time:0.005s, forward_time:0.026s, post_time:0.058s, total_time:0.089s, prior_image:False
> 00025 PSNR=18.206, SSIM=0.6655 pre_time:0.005s, forward_time:0.022s, post_time:0.056s, total_time:0.083s, prior_image:False
> 00026 PSNR=18.229, SSIM=0.6639 pre_time:0.005s, forward_time:0.022s, post_time:0.013s, total_time:0.040s, prior_image:False
> 00027 PSNR=17.977, SSIM=0.6603 pre_time:0.007s, forward_time:0.022s, post_time:0.013s, total_time:0.041s, prior_image:False
> 00028 PSNR=18.096, SSIM=0.6639 pre_time:0.005s, forward_time:0.022s, post_time:0.100s, total_time:0.126s, prior_image:False
> 00029 PSNR=18.309, SSIM=0.6578 pre_time:0.006s, forward_time:0.022s, post_time:0.055s, total_time:0.082s, prior_image:False
> 00030 PSNR=18.315, SSIM=0.6512 pre_time:0.006s, forward_time:0.022s, post_time:0.053s, total_time:0.081s, prior_image:False
> 00031 PSNR=18.424, SSIM=0.6390 pre_time:0.006s, forward_time:0.022s, post_time:0.017s, total_time:0.046s, prior_image:False
> 00032 PSNR=18.510, SSIM=0.6428 pre_time:0.005s, forward_time:0.022s, post_time:0.013s, total_time:0.040s, prior_image:False
> 00033 PSNR=18.377, SSIM=0.6441 pre_time:0.005s, forward_time:0.022s, post_time:0.013s, total_time:0.040s, prior_image:False
> 00034 PSNR=18.461, SSIM=0.6408 pre_time:0.006s, forward_time:0.022s, post_time:0.061s, total_time:0.089s, prior_image:False
> 00035 PSNR=18.376, SSIM=0.6286 pre_time:0.006s, forward_time:0.022s, post_time:0.071s, total_time:0.098s, prior_image:False
> 00036 PSNR=18.019, SSIM=0.6240 pre_time:0.118s, forward_time:0.022s, post_time:0.024s, total_time:0.163s, prior_image:False
> 00037 PSNR=17.611, SSIM=0.6084 pre_time:0.005s, forward_time:0.022s, post_time:0.013s, total_time:0.039s, prior_image:False
> 00038 PSNR=17.184, SSIM=0.5986 pre_time:0.005s, forward_time:0.022s, post_time:0.092s, total_time:0.119s, prior_image:False
> 00039 PSNR=16.835, SSIM=0.5977 pre_time:0.006s, forward_time:0.022s, post_time:0.013s, total_time:0.040s, prior_image:False
> 00040 PSNR=16.369, SSIM=0.5964 pre_time:0.006s, forward_time:0.022s, post_time:0.078s, total_time:0.105s, prior_image:False
> 00041 PSNR=15.956, SSIM=0.5982 pre_time:0.006s, forward_time:0.022s, post_time:0.014s, total_time:0.041s, prior_image:False
> 00042 PSNR=15.670, SSIM=0.5922 pre_time:0.005s, forward_time:0.022s, post_time:0.052s, total_time:0.078s, prior_image:False
> 00043 PSNR=15.510, SSIM=0.5900 pre_time:0.005s, forward_time:0.022s, post_time:0.060s, total_time:0.086s, prior_image:False
> 00044 PSNR=15.785, SSIM=0.5789 pre_time:0.006s, forward_time:0.022s, post_time:0.013s, total_time:0.041s, prior_image:False
> 00045 PSNR=16.375, SSIM=0.5912 pre_time:0.007s, forward_time:0.022s, post_time:0.028s, total_time:0.057s, prior_image:False
> 00046 PSNR=16.544, SSIM=0.6008 pre_time:0.008s, forward_time:0.022s, post_time:0.019s, total_time:0.049s, prior_image:False
> 00047 PSNR=16.608, SSIM=0.5992 pre_time:0.005s, forward_time:0.022s, post_time:0.014s, total_time:0.040s, prior_image:False
> 00048 PSNR=16.620, SSIM=0.6003 pre_time:0.005s, forward_time:0.022s, post_time:0.033s, total_time:0.059s, prior_image:False
> 00049 PSNR=16.700, SSIM=0.6057 pre_time:0.004s, forward_time:0.022s, post_time:0.013s, total_time:0.039s, prior_image:False
> 00050 PSNR=16.725, SSIM=0.6064 pre_time:0.005s, forward_time:0.022s, post_time:0.036s, total_time:0.062s, prior_image:False
> 00051 PSNR=16.775, SSIM=0.6184 pre_time:0.005s, forward_time:0.021s, post_time:0.053s, total_time:0.079s, prior_image:False
> 00052 PSNR=16.686, SSIM=0.6136 pre_time:0.005s, forward_time:0.021s, post_time:0.055s, total_time:0.081s, prior_image:False
