Inference - 20221211_18.30
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_19.51/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_64/infer_20221211_18.30
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_19.51/Dehaze/model/model_best.pt
Starting inference
Starting the images
> 00000 PSNR=14.725, SSIM=0.6841 pre_time:0.043s, forward_time:0.380s, post_time:0.092s, total_time:0.516s, prior_image:False
> 00001 PSNR=12.872, SSIM=0.5137 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.024s, prior_image:True
> 00002 PSNR=11.642, SSIM=0.4041 pre_time:0.005s, forward_time:0.012s, post_time:0.030s, total_time:0.047s, prior_image:True
> 00003 PSNR=10.871, SSIM=0.3632 pre_time:0.005s, forward_time:0.012s, post_time:0.045s, total_time:0.062s, prior_image:True
> 00004 PSNR=10.515, SSIM=0.3057 pre_time:0.006s, forward_time:0.012s, post_time:0.007s, total_time:0.025s, prior_image:True
> 00005 PSNR=10.075, SSIM=0.2421 pre_time:0.005s, forward_time:0.012s, post_time:0.022s, total_time:0.040s, prior_image:True
> 00006 PSNR=9.918, SSIM=0.2271 pre_time:0.005s, forward_time:0.012s, post_time:0.044s, total_time:0.061s, prior_image:True
> 00007 PSNR=10.076, SSIM=0.2467 pre_time:0.004s, forward_time:0.012s, post_time:0.065s, total_time:0.081s, prior_image:True
> 00008 PSNR=10.095, SSIM=0.2753 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.022s, prior_image:True
> 00009 PSNR=9.976, SSIM=0.2756 pre_time:0.004s, forward_time:0.012s, post_time:0.039s, total_time:0.056s, prior_image:True
> 00010 PSNR=9.900, SSIM=0.2560 pre_time:0.005s, forward_time:0.024s, post_time:0.051s, total_time:0.080s, prior_image:True
> 00011 PSNR=9.926, SSIM=0.2497 pre_time:0.008s, forward_time:0.012s, post_time:0.030s, total_time:0.051s, prior_image:True
> 00012 PSNR=9.993, SSIM=0.2743 pre_time:0.005s, forward_time:0.012s, post_time:0.052s, total_time:0.069s, prior_image:True
> 00013 PSNR=10.081, SSIM=0.2931 pre_time:0.008s, forward_time:0.012s, post_time:0.040s, total_time:0.060s, prior_image:True
> 00014 PSNR=10.038, SSIM=0.3117 pre_time:0.005s, forward_time:0.012s, post_time:0.054s, total_time:0.072s, prior_image:True
> 00015 PSNR=9.975, SSIM=0.3277 pre_time:0.004s, forward_time:0.012s, post_time:0.060s, total_time:0.077s, prior_image:True
> 00016 PSNR=10.081, SSIM=0.3441 pre_time:0.005s, forward_time:0.012s, post_time:0.023s, total_time:0.041s, prior_image:True
> 00017 PSNR=10.247, SSIM=0.3589 pre_time:0.005s, forward_time:0.012s, post_time:0.050s, total_time:0.068s, prior_image:True
> 00018 PSNR=10.506, SSIM=0.3629 pre_time:0.006s, forward_time:0.014s, post_time:0.054s, total_time:0.074s, prior_image:True
> 00019 PSNR=10.801, SSIM=0.3731 pre_time:0.005s, forward_time:0.012s, post_time:0.064s, total_time:0.081s, prior_image:True
> 00020 PSNR=11.143, SSIM=0.3757 pre_time:0.005s, forward_time:0.013s, post_time:0.006s, total_time:0.024s, prior_image:True
> 00021 PSNR=11.481, SSIM=0.3840 pre_time:0.005s, forward_time:0.013s, post_time:0.041s, total_time:0.059s, prior_image:True
> 00022 PSNR=11.787, SSIM=0.3913 pre_time:0.005s, forward_time:0.012s, post_time:0.049s, total_time:0.066s, prior_image:True
> 00023 PSNR=12.028, SSIM=0.3951 pre_time:0.007s, forward_time:0.013s, post_time:0.007s, total_time:0.028s, prior_image:True
> 00024 PSNR=12.313, SSIM=0.3976 pre_time:0.004s, forward_time:0.012s, post_time:0.089s, total_time:0.105s, prior_image:True
> 00025 PSNR=12.541, SSIM=0.3801 pre_time:0.005s, forward_time:0.012s, post_time:0.057s, total_time:0.074s, prior_image:True
> 00026 PSNR=12.756, SSIM=0.3829 pre_time:0.005s, forward_time:0.012s, post_time:0.080s, total_time:0.098s, prior_image:True
> 00027 PSNR=12.855, SSIM=0.3672 pre_time:0.008s, forward_time:0.012s, post_time:0.053s, total_time:0.073s, prior_image:True
> 00028 PSNR=13.048, SSIM=0.3708 pre_time:0.007s, forward_time:0.013s, post_time:0.041s, total_time:0.060s, prior_image:True
> 00029 PSNR=13.367, SSIM=0.3583 pre_time:0.006s, forward_time:0.012s, post_time:0.006s, total_time:0.024s, prior_image:True
> 00030 PSNR=13.510, SSIM=0.3537 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00031 PSNR=13.361, SSIM=0.3412 pre_time:0.006s, forward_time:0.013s, post_time:0.007s, total_time:0.025s, prior_image:True
> 00032 PSNR=13.256, SSIM=0.3292 pre_time:0.005s, forward_time:0.012s, post_time:0.106s, total_time:0.123s, prior_image:True
> 00033 PSNR=13.190, SSIM=0.3013 pre_time:0.005s, forward_time:0.012s, post_time:0.051s, total_time:0.068s, prior_image:True
> 00034 PSNR=13.077, SSIM=0.2876 pre_time:0.005s, forward_time:0.014s, post_time:0.007s, total_time:0.025s, prior_image:True
> 00035 PSNR=12.909, SSIM=0.2928 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00036 PSNR=12.485, SSIM=0.2930 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00037 PSNR=11.906, SSIM=0.2858 pre_time:0.004s, forward_time:0.012s, post_time:0.036s, total_time:0.052s, prior_image:True
> 00038 PSNR=11.532, SSIM=0.2964 pre_time:0.005s, forward_time:0.012s, post_time:0.055s, total_time:0.072s, prior_image:True
> 00039 PSNR=11.201, SSIM=0.2952 pre_time:0.005s, forward_time:0.012s, post_time:0.021s, total_time:0.038s, prior_image:True
> 00040 PSNR=10.979, SSIM=0.3001 pre_time:0.005s, forward_time:0.012s, post_time:0.040s, total_time:0.057s, prior_image:True
> 00041 PSNR=10.763, SSIM=0.3103 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00042 PSNR=10.571, SSIM=0.3057 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00043 PSNR=10.393, SSIM=0.3078 pre_time:0.004s, forward_time:0.012s, post_time:0.046s, total_time:0.063s, prior_image:True
> 00044 PSNR=10.276, SSIM=0.3135 pre_time:0.005s, forward_time:0.012s, post_time:0.051s, total_time:0.068s, prior_image:True
> 00045 PSNR=10.459, SSIM=0.3085 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00046 PSNR=10.609, SSIM=0.3074 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00047 PSNR=10.732, SSIM=0.3335 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00048 PSNR=10.812, SSIM=0.3417 pre_time:0.005s, forward_time:0.012s, post_time:0.036s, total_time:0.053s, prior_image:True
> 00049 PSNR=10.861, SSIM=0.3676 pre_time:0.004s, forward_time:0.012s, post_time:0.027s, total_time:0.044s, prior_image:True
> 00050 PSNR=10.945, SSIM=0.3771 pre_time:0.007s, forward_time:0.012s, post_time:0.059s, total_time:0.077s, prior_image:True
> 00051 PSNR=11.103, SSIM=0.3913 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.024s, prior_image:True
> 00052 PSNR=11.238, SSIM=0.3955 pre_time:0.005s, forward_time:0.013s, post_time:0.048s, total_time:0.066s, prior_image:True
> 00053 PSNR=11.362, SSIM=0.4047 pre_time:0.004s, forward_time:0.012s, post_time:0.053s, total_time:0.069s, prior_image:True
> 00054 PSNR=11.502, SSIM=0.4100 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00055 PSNR=11.613, SSIM=0.4103 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00056 PSNR=11.581, SSIM=0.4056 pre_time:0.004s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00057 PSNR=11.731, SSIM=0.4047 pre_time:0.005s, forward_time:0.012s, post_time:0.065s, total_time:0.082s, prior_image:True
> 00000 PSNR=18.771, SSIM=0.6343 pre_time:0.005s, forward_time:0.017s, post_time:0.032s, total_time:0.055s, prior_image:False
> 00001 PSNR=16.634, SSIM=0.4815 pre_time:0.005s, forward_time:0.013s, post_time:0.042s, total_time:0.059s, prior_image:True
> 00002 PSNR=14.251, SSIM=0.3314 pre_time:0.005s, forward_time:0.012s, post_time:0.051s, total_time:0.068s, prior_image:True
> 00003 PSNR=13.033, SSIM=0.3147 pre_time:0.005s, forward_time:0.012s, post_time:0.009s, total_time:0.026s, prior_image:True
> 00004 PSNR=12.357, SSIM=0.3541 pre_time:0.005s, forward_time:0.012s, post_time:0.062s, total_time:0.079s, prior_image:True
> 00005 PSNR=12.265, SSIM=0.4271 pre_time:0.005s, forward_time:0.012s, post_time:0.022s, total_time:0.040s, prior_image:True
> 00006 PSNR=12.584, SSIM=0.4318 pre_time:0.005s, forward_time:0.012s, post_time:0.042s, total_time:0.059s, prior_image:True
> 00007 PSNR=12.583, SSIM=0.4853 pre_time:0.004s, forward_time:0.012s, post_time:0.052s, total_time:0.069s, prior_image:True
> 00008 PSNR=12.988, SSIM=0.5240 pre_time:0.005s, forward_time:0.012s, post_time:0.044s, total_time:0.061s, prior_image:True
> 00009 PSNR=13.945, SSIM=0.5411 pre_time:0.008s, forward_time:0.012s, post_time:0.032s, total_time:0.052s, prior_image:True
> 00010 PSNR=13.979, SSIM=0.4869 pre_time:0.004s, forward_time:0.012s, post_time:0.043s, total_time:0.060s, prior_image:True
> 00011 PSNR=13.422, SSIM=0.4232 pre_time:0.009s, forward_time:0.012s, post_time:0.105s, total_time:0.127s, prior_image:True
> 00012 PSNR=12.216, SSIM=0.4007 pre_time:0.005s, forward_time:0.012s, post_time:0.059s, total_time:0.076s, prior_image:True
> 00013 PSNR=11.457, SSIM=0.3739 pre_time:0.005s, forward_time:0.013s, post_time:0.053s, total_time:0.070s, prior_image:True
> 00014 PSNR=11.727, SSIM=0.4098 pre_time:0.005s, forward_time:0.012s, post_time:0.056s, total_time:0.073s, prior_image:True
> 00015 PSNR=12.268, SSIM=0.4248 pre_time:0.005s, forward_time:0.012s, post_time:0.044s, total_time:0.062s, prior_image:True
> 00016 PSNR=12.789, SSIM=0.4347 pre_time:0.006s, forward_time:0.014s, post_time:0.073s, total_time:0.093s, prior_image:True
> 00017 PSNR=13.354, SSIM=0.4404 pre_time:0.005s, forward_time:0.012s, post_time:0.124s, total_time:0.141s, prior_image:True
> 00018 PSNR=13.813, SSIM=0.4599 pre_time:0.006s, forward_time:0.012s, post_time:0.160s, total_time:0.178s, prior_image:True
> 00019 PSNR=13.861, SSIM=0.4874 pre_time:0.006s, forward_time:0.012s, post_time:0.030s, total_time:0.048s, prior_image:True
> 00020 PSNR=14.113, SSIM=0.5053 pre_time:0.005s, forward_time:0.012s, post_time:0.053s, total_time:0.071s, prior_image:True
> 00021 PSNR=14.562, SSIM=0.5533 pre_time:0.005s, forward_time:0.013s, post_time:0.007s, total_time:0.025s, prior_image:True
> 00022 PSNR=14.959, SSIM=0.6209 pre_time:0.004s, forward_time:0.012s, post_time:0.049s, total_time:0.065s, prior_image:True
> 00023 PSNR=15.518, SSIM=0.6548 pre_time:0.006s, forward_time:0.012s, post_time:0.006s, total_time:0.025s, prior_image:True
> 00024 PSNR=16.197, SSIM=0.6686 pre_time:0.004s, forward_time:0.012s, post_time:0.058s, total_time:0.074s, prior_image:True
> 00025 PSNR=16.166, SSIM=0.6385 pre_time:0.005s, forward_time:0.012s, post_time:0.046s, total_time:0.063s, prior_image:True
> 00026 PSNR=15.258, SSIM=0.6311 pre_time:0.005s, forward_time:0.012s, post_time:0.101s, total_time:0.118s, prior_image:True
> 00027 PSNR=14.171, SSIM=0.5974 pre_time:0.005s, forward_time:0.013s, post_time:0.018s, total_time:0.035s, prior_image:True
> 00028 PSNR=13.312, SSIM=0.5655 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00029 PSNR=12.904, SSIM=0.5464 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00030 PSNR=12.858, SSIM=0.5469 pre_time:0.005s, forward_time:0.013s, post_time:0.743s, total_time:0.761s, prior_image:True
> 00031 PSNR=12.691, SSIM=0.5429 pre_time:0.009s, forward_time:0.014s, post_time:0.006s, total_time:0.030s, prior_image:True
> 00032 PSNR=12.695, SSIM=0.5461 pre_time:0.005s, forward_time:0.012s, post_time:0.050s, total_time:0.068s, prior_image:True
> 00033 PSNR=13.258, SSIM=0.5342 pre_time:0.005s, forward_time:0.012s, post_time:0.039s, total_time:0.056s, prior_image:True
> 00034 PSNR=13.641, SSIM=0.4943 pre_time:0.005s, forward_time:0.012s, post_time:0.007s, total_time:0.024s, prior_image:True
> 00035 PSNR=13.778, SSIM=0.4600 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00000 PSNR=17.230, SSIM=0.6385 pre_time:0.006s, forward_time:0.017s, post_time:0.046s, total_time:0.069s, prior_image:False
> 00001 PSNR=17.335, SSIM=0.6327 pre_time:0.004s, forward_time:0.012s, post_time:0.056s, total_time:0.072s, prior_image:True
> 00002 PSNR=17.446, SSIM=0.6354 pre_time:0.005s, forward_time:0.012s, post_time:0.023s, total_time:0.040s, prior_image:True
> 00003 PSNR=17.332, SSIM=0.6283 pre_time:0.005s, forward_time:0.012s, post_time:0.038s, total_time:0.055s, prior_image:True
> 00004 PSNR=17.261, SSIM=0.6081 pre_time:0.005s, forward_time:0.012s, post_time:0.044s, total_time:0.061s, prior_image:True
> 00005 PSNR=17.013, SSIM=0.5932 pre_time:0.004s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00006 PSNR=16.887, SSIM=0.5856 pre_time:0.004s, forward_time:0.012s, post_time:0.300s, total_time:0.317s, prior_image:True
> 00007 PSNR=16.765, SSIM=0.5702 pre_time:0.006s, forward_time:0.012s, post_time:0.034s, total_time:0.053s, prior_image:True
> 00008 PSNR=16.650, SSIM=0.5567 pre_time:0.004s, forward_time:0.012s, post_time:0.006s, total_time:0.021s, prior_image:True
> 00009 PSNR=15.538, SSIM=0.4720 pre_time:0.004s, forward_time:0.012s, post_time:0.064s, total_time:0.079s, prior_image:True
> 00010 PSNR=15.172, SSIM=0.4512 pre_time:0.004s, forward_time:0.012s, post_time:0.050s, total_time:0.067s, prior_image:True
> 00011 PSNR=15.407, SSIM=0.4665 pre_time:0.006s, forward_time:0.012s, post_time:0.028s, total_time:0.046s, prior_image:True
> 00012 PSNR=15.493, SSIM=0.4728 pre_time:0.005s, forward_time:0.012s, post_time:0.061s, total_time:0.077s, prior_image:True
> 00013 PSNR=15.709, SSIM=0.4908 pre_time:0.005s, forward_time:0.011s, post_time:0.030s, total_time:0.047s, prior_image:True
> 00014 PSNR=15.846, SSIM=0.4852 pre_time:0.005s, forward_time:0.013s, post_time:0.039s, total_time:0.057s, prior_image:True
> 00015 PSNR=15.502, SSIM=0.4605 pre_time:0.004s, forward_time:0.012s, post_time:0.006s, total_time:0.022s, prior_image:True
> 00016 PSNR=15.550, SSIM=0.4636 pre_time:0.004s, forward_time:0.012s, post_time:0.067s, total_time:0.083s, prior_image:True
> 00017 PSNR=15.550, SSIM=0.4602 pre_time:0.005s, forward_time:0.013s, post_time:0.037s, total_time:0.054s, prior_image:True
> 00018 PSNR=15.418, SSIM=0.4436 pre_time:0.004s, forward_time:0.012s, post_time:0.054s, total_time:0.070s, prior_image:True
> 00019 PSNR=15.319, SSIM=0.4293 pre_time:0.005s, forward_time:0.012s, post_time:0.032s, total_time:0.049s, prior_image:True
> 00020 PSNR=14.851, SSIM=0.4051 pre_time:0.004s, forward_time:0.014s, post_time:0.037s, total_time:0.056s, prior_image:True
> 00021 PSNR=15.003, SSIM=0.4224 pre_time:0.005s, forward_time:0.012s, post_time:0.007s, total_time:0.023s, prior_image:True
> 00022 PSNR=15.141, SSIM=0.4364 pre_time:0.004s, forward_time:0.012s, post_time:0.037s, total_time:0.052s, prior_image:True
> 00023 PSNR=15.151, SSIM=0.4398 pre_time:0.005s, forward_time:0.012s, post_time:0.055s, total_time:0.073s, prior_image:True
> 00024 PSNR=15.189, SSIM=0.4468 pre_time:0.005s, forward_time:0.012s, post_time:0.042s, total_time:0.060s, prior_image:True
> 00025 PSNR=15.242, SSIM=0.4570 pre_time:0.004s, forward_time:0.012s, post_time:0.035s, total_time:0.051s, prior_image:True
> 00026 PSNR=14.829, SSIM=0.4492 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00027 PSNR=15.039, SSIM=0.4596 pre_time:0.005s, forward_time:0.012s, post_time:0.147s, total_time:0.164s, prior_image:True
> 00028 PSNR=15.014, SSIM=0.4515 pre_time:0.009s, forward_time:0.015s, post_time:0.070s, total_time:0.094s, prior_image:True
> 00029 PSNR=15.151, SSIM=0.4705 pre_time:0.005s, forward_time:0.012s, post_time:0.036s, total_time:0.053s, prior_image:True
> 00030 PSNR=15.171, SSIM=0.4639 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.022s, prior_image:True
> 00031 PSNR=15.689, SSIM=0.4320 pre_time:0.005s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00032 PSNR=15.805, SSIM=0.4470 pre_time:0.004s, forward_time:0.012s, post_time:0.006s, total_time:0.022s, prior_image:True
> 00033 PSNR=16.198, SSIM=0.4378 pre_time:0.004s, forward_time:0.012s, post_time:0.006s, total_time:0.023s, prior_image:True
> 00034 PSNR=16.500, SSIM=0.4544 pre_time:0.006s, forward_time:0.013s, post_time:0.043s, total_time:0.062s, prior_image:True
> 00035 PSNR=16.662, SSIM=0.4942 pre_time:0.004s, forward_time:0.012s, post_time:0.053s, total_time:0.069s, prior_image:True
> 00036 PSNR=16.689, SSIM=0.5293 pre_time:0.004s, forward_time:0.012s, post_time:0.052s, total_time:0.068s, prior_image:True
> 00037 PSNR=15.907, SSIM=0.5301 pre_time:0.005s, forward_time:0.012s, post_time:0.046s, total_time:0.063s, prior_image:True
> 00038 PSNR=16.217, SSIM=0.5928 pre_time:0.006s, forward_time:0.012s, post_time:0.006s, total_time:0.024s, prior_image:True
> 00039 PSNR=15.171, SSIM=0.5770 pre_time:0.004s, forward_time:0.012s, post_time:0.041s, total_time:0.057s, prior_image:True
> 00040 PSNR=13.843, SSIM=0.5424 pre_time:0.005s, forward_time:0.012s, post_time:0.047s, total_time:0.064s, prior_image:True
> 00041 PSNR=13.731, SSIM=0.5524 pre_time:0.005s, forward_time:0.012s, post_time:0.050s, total_time:0.067s, prior_image:True
> 00042 PSNR=13.525, SSIM=0.5148 pre_time:0.004s, forward_time:0.012s, post_time:0.006s, total_time:0.021s, prior_image:True
> 00043 PSNR=13.482, SSIM=0.4946 pre_time:0.004s, forward_time:0.012s, post_time:0.041s, total_time:0.057s, prior_image:True
> 00044 PSNR=13.196, SSIM=0.4869 pre_time:0.004s, forward_time:0.012s, post_time:0.059s, total_time:0.075s, prior_image:True
> 00045 PSNR=14.289, SSIM=0.4959 pre_time:0.004s, forward_time:0.012s, post_time:0.055s, total_time:0.071s, prior_image:True
> 00046 PSNR=13.185, SSIM=0.4787 pre_time:0.009s, forward_time:0.012s, post_time:0.006s, total_time:0.027s, prior_image:True
> 00047 PSNR=13.054, SSIM=0.5181 pre_time:0.004s, forward_time:0.012s, post_time:0.039s, total_time:0.056s, prior_image:True
> 00048 PSNR=13.001, SSIM=0.5353 pre_time:0.007s, forward_time:0.013s, post_time:0.059s, total_time:0.080s, prior_image:True
> 00049 PSNR=14.196, SSIM=0.5451 pre_time:0.004s, forward_time:0.012s, post_time:0.030s, total_time:0.047s, prior_image:True
> 00050 PSNR=14.172, SSIM=0.5747 pre_time:0.004s, forward_time:0.012s, post_time:0.065s, total_time:0.082s, prior_image:True
