Inference - 20221211_18.16
save_image: True
data_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED/Test/hazy
gt_path: /scratch/08310/rs821505/Video-Dehazing-Extension/dataset/REVIDE_REDUCED/Test/gt
model_path: /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_19.51/Dehaze/model/model_best.pt
result_path: ../infer_results/REVIDE_64/infer_20221211_18.16
size_must_mode: 4
device: cuda
Loading model from /scratch/08310/rs821505/Video-Dehazing-Extension/experiment/REVIDE_REDUCED/20221210_19.51/Dehaze/model/model_best.pt
> 00000 PSNR=14.725, SSIM=0.6841 pre_time:0.033s, forward_time:0.385s, post_time:0.075s, total_time:0.493s, prior_image:False
> 00001 PSNR=13.010, SSIM=0.6008 pre_time:0.244s, forward_time:0.017s, post_time:0.006s, total_time:0.267s, prior_image:False
> 00002 PSNR=12.050, SSIM=0.5627 pre_time:0.003s, forward_time:0.017s, post_time:0.065s, total_time:0.085s, prior_image:False
> 00003 PSNR=11.429, SSIM=0.5439 pre_time:0.003s, forward_time:0.017s, post_time:0.032s, total_time:0.052s, prior_image:False
> 00004 PSNR=11.542, SSIM=0.5242 pre_time:0.003s, forward_time:0.017s, post_time:0.051s, total_time:0.071s, prior_image:False
> 00005 PSNR=11.902, SSIM=0.4788 pre_time:0.047s, forward_time:0.017s, post_time:0.064s, total_time:0.128s, prior_image:False
> 00006 PSNR=12.005, SSIM=0.4487 pre_time:0.005s, forward_time:0.017s, post_time:0.063s, total_time:0.086s, prior_image:False
> 00007 PSNR=11.845, SSIM=0.4189 pre_time:0.003s, forward_time:0.017s, post_time:0.033s, total_time:0.053s, prior_image:False
> 00008 PSNR=11.856, SSIM=0.4200 pre_time:0.003s, forward_time:0.017s, post_time:0.012s, total_time:0.033s, prior_image:False
> 00009 PSNR=12.121, SSIM=0.4546 pre_time:0.004s, forward_time:0.017s, post_time:0.066s, total_time:0.087s, prior_image:False
> 00010 PSNR=12.303, SSIM=0.4646 pre_time:0.004s, forward_time:0.017s, post_time:0.018s, total_time:0.040s, prior_image:False
